year,voter_name,affiliation,yr_contrary,num_awards_voted
2016,Chris Broussard,ESPN,5.74588740336743,9
2016,Chris Carrino,WFAN (660),2.757294409493957,5
2016,Chris Dempsey,Denver Post,4.5023559283092,7
2016,Chris Denari,Fox Sports Indiana,6.079972497563653,9
2016,Chris Haynes,Northeast Ohio Media Group/Cleveland.com,2.9291992145917383,5
2016,Chris Marlowe,Altitude Sports & Entertainment,5.493548400980645,7
2016,Chris Sheridan,Sheridanhoops.com,9.107171496939067,9
2016,Chuck Cooperstein,ESPN 103.3,4.697670144357433,6
2016,Chuck Swirsky,ESPN AM 1000,2.2221305155075597,3
2016,Craig Ackerman,Sportstalk 790 AM,1.043794869670447,3
2016,Dan Woike,Orange County Register,4.402850177705508,7
2016,Dante Marchitelli,Fox Sports Florida,4.2112366256451095,6
2016,Dave Johnson,106.7 The Fan,4.288276460029899,7
2016,Dave McMenamin,ESPN.com,2.9463435285523247,4
2016,David Aldridge,TNT,7.395272656227969,9
2016,David Mayo,Mlive Media Group,3.861685019351037,6
2016,David Steele,Fox Sports Florida,3.358400149197952,5
2016,David Wesley,Fox Sports New Orleans,8.858531561298264,8
2016,Dell Curry,Fox Sports Carolinas/SportSouth,3.05765108704504,4
2016,Dennis Neumann,ESPN 580 AM,2.8870981279792876,5
2016,Diamond Leung,Bay Area News Group,3.55552976245464,6
2016,Doris Burke,ESPN,6.040098832338183,9
2016,Doug Smith,The Toronto Star,7.835330001129056,9
2016,Dwain Price,Ft. Worth Star Telegam,6.523486733916862,7
2016,Eddie Johnson,Fox Sports Arizona,6.841653470726739,9
2016,Eddie Sefko,Dallas Morning News,5.2638216168816205,7
2016,Eric Collins,Hornets Radio,5.085530882213485,4
2016,Eric Hasseltine,92.9 FM ESPN/680 AM ESPN,9.557225342836208,9
2016,Eric Reid,Fox Sports Sun,2.836237290965267,4
2016,Eric Smith,TSN 1050/Sportsnet 590 The Fan,2.014618648615659,3
2016,Ernie Johnson,TNT,5.9186257923424686,9
2016,Ethan Skolnick,Miami Herald,1.9330283602282599,3
2016,Fran Blinebury,NBA.com,6.061482266994657,9
2016,Frank Isola,Sirius Radio/New York Daily News,7.603566141033195,9
2016,Fred McLeod,Fox Sports Ohio,4.4272377893853125,5
2016,Gary Gerould,Comcast SportsNet-CA,5.7589774260488404,9
2016,Gary Washburn,Boston Globe,8.90634521803873,9
2016,George Blaha,WMGC / Fox Sports Detroit,6.538957912521654,7
2016,Glenn Consor,106.7 The Fan,5.403280995042819,6
2016,Grant Napear,Comcast SportsNet-CA,6.128375201871178,9
2016,Howard Beck,Bleacher Report,6.269475163640068,9
2016,Hubie Brown,ESPN,5.868850281106858,9
2016,Ian Eagle,YES Network,2.3990252257322626,4
2016,Ira Winderman,South Florida Sun Sentinel,2.270808486360237,4
2016,Israel Gutierrez,ESPN.com,6.785746076618187,9
2016,JA Adande,ESPN.com,5.664178668436834,9
2016,Jack Armstrong,SportsNet/TSN,1.6964142345713322,3
2016,Jason Jackson,Fox Sports Sun,2.52990376202797,4
2016,Jason Jones,Sacramento Bee,7.579610941386015,9
2016,Jason Kosmicki,Altitude Radio Network,5.648325723500112,6
2016,Jason Lieser,Palm Beach Post,3.7396914790198332,4
2016,Jason Lloyd,Akron Beacon Journal,5.715600145248407,7
2016,Jason Quick,Comcast SportsNet NW,4.581719135207805,6
2016,Jeff McDonald,San Antonio Express-News,5.911191262077777,9
2016,Jeff Turner,Fox Sports Florida,3.229309240921651,5
2016,Jeff Zillgitt,USA Today,5.931644040412729,9
2016,Jerry Zgoda,Minneapolis Star Tribune,6.676674552887404,9
2016,Jessica Camerato,Comcast SportsNet,3.772571327777039,6
2016,Jim Barnett,Comcast SportsNet Bay Area,3.5431909556759065,5
2016,Jim Paschke,Fox Sports Wisconsin,5.914559832357469,9
2016,Jim Petersen,Fox Sports North,6.500388293678846,9
2016,Jim Spanarkel,YES Network,2.4149925510233237,4
2016,Jody Genessy,Deseret News,7.089285187634317,9
2016,Joe Cowley,Chicago Sun-Times,2.6017477990039324,3
2016,Joe Freeman,The Oregonian,5.042948860431036,7
2016,Joel Meyers,Fox Sports New Orleans,5.859906178002747,9
2016,John Denton,OrlandoMagic.com,6.544351754715774,6
2016,John Michael,Cavaliers Radio,2.9437195116553165,6
2016,Jon Barry,ESPN Radio,7.199386434925226,9
2016,Jon Krawczynski,Associated Press,6.917024172869254,9
2016,Jonathan Feigen,Houston Chronicle,5.260285534948508,9
2016,Jose Paneda,WAQI Radio,2.164917557345517,3
2016,K.C. Johnson,Chicago Tribune,3.012323133900955,4
2016,Keith Pompey,Philadelphia Inquirer,8.465039650175552,7
2016,Ken Berger,CBSSports.com,6.840814009482957,9
2016,Kevin Arnovitz,ESPN.com,6.648111879296828,9
2016,Kevin Calabro,ESPN Radio,7.654551121816425,9
2016,Lang Whitaker,NBA.com,4.939976446818276,9
2016,Leo Rautins,SportsNet/TSN,2.26009674419632,3
2016,Marc Berman,New York Post,2.7921941155727836,4
2016,Marc Spears,The Undefeated,6.695878298399795,9
2016,Marc Stein,ESPN.com,5.909903492365015,9
2016,Marc Zumoff,Sixers TV,4.693369975747896,7
