voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Brian Davis,Fox Sports Oklahoma,"Stephenson, Lance -- IND","Dragic, Goran -- PHO","Morris, Markieff -- PHO",2014,MIP
Brian Wheeler,Fox Sports Radio/620AM,"Green, Gerald -- PHO","Lopez, Robin -- POR","Stephenson, Lance -- IND",2014,MIP
Brian Windhorst,ESPN.com,"Davis, Anthony -- NO","Mills, Patty -- SA","Green, Gerald -- PHO",2014,MIP
Candace Buckner,Indianapolis Star,"Dragic, Goran -- PHO","Davis, Anthony -- NO","Stephenson, Lance -- IND",2014,MIP
Charles Gardner,Milwaukee Journal Sentinel,"Dragic, Goran -- PHO","Livingston, Shaun -- BKN","Stephenson, Lance -- IND",2014,MIP
Chris Broussard,ESPN The Magazine,"Davis, Anthony -- NO","Green, Gerald -- PHO","Dragic, Goran -- PHO",2014,MIP
Chris Dempsey,Denver Post,"Stephenson, Lance -- IND","Griffin, Blake -- LAC","Dragic, Goran -- PHO",2014,MIP
Chris Denari,Fox Sports Indiana,"Stephenson, Lance -- IND","Dragic, Goran -- PHO","Davis, Anthony -- NO",2014,MIP
Chris Haynes,Comcast SportsNet NW,"Dragic, Goran -- PHO","Stephenson, Lance -- IND","Thomas, Isaiah -- SAC",2014,MIP
Chris Mannix,Sports Illustrated,"Davis, Anthony -- NO","Dragic, Goran -- PHO","Stephenson, Lance -- IND",2014,MIP
Chris Sheridan,Sheridanhoops.com,"Dragic, Goran -- PHO","Lowry, Kyle -- TOR","Thomas, Isaiah -- SAC",2014,MIP
Chuck Swirsky,ESPN AM 1000,"Dragic, Goran -- PHO","Lowry, Kyle -- TOR","Lopez, Robin -- POR",2014,MIP
Craig Ackerman,Sportstalk 790 AM,"Green, Gerald -- PHO","Stephenson, Lance -- IND","DeRozan, DeMar -- TOR",2014,MIP
Dan Woike,Orange County Register,"Dragic, Goran -- PHO","Jordan, DeAndre -- LAC","Green, Gerald -- PHO",2014,MIP
