voter_name,affiliation,year,award,player,points_given,num_ballots,tot_pts,avg_pts,abs_pt_diff,sq_pt_diff
Dominique Wilkins,Fox Sports South,2014,All-NBA,Paul George,5,125,171,1.3387096774193548,3.661290322580645,13.405046826222684
Doug Smith,Toronto Star,2014,All-NBA,Roy Hibbert,3,125,17,0.11290322580645161,2.8870967741935485,8.335327783558794
Eddie Sefko,Dallas Morning News,2014,All-NBA,Tony Parker,3,125,210,1.6693548387096775,1.3306451612903225,1.7706165452653484
Eric Hasseltine,92.9 FM ESPN/680 AM,2014,All-NBA,Marc Gasol,5,125,16,0.08870967741935484,4.911290322580645,24.120772632674296
Eric Reid,Sun Sports,2014,All-NBA,Al Jefferson,3,125,191,1.5161290322580645,1.4838709677419355,2.2018730489073883
Eric Smith,SportsNet 590 The Fan,2014,All-NBA,Damian Lillard,3,125,115,0.9032258064516129,2.096774193548387,4.396462018730489
Ernie Johnson,TNT,2014,All-NBA,Paul George,5,125,171,1.3387096774193548,3.661290322580645,13.405046826222684
Fran Blinebury,NBA.com,2014,All-NBA,Goran Dragic,3,125,115,0.9032258064516129,2.096774193548387,4.396462018730489
Frank Isola,New York Daily News,2014,All-NBA,Tony Parker,5,125,210,1.653225806451613,3.346774193548387,11.200897502601457
Fred McLeod,Fox Sports Ohio,2014,All-NBA,Carmelo Anthony,3,125,86,0.6693548387096774,2.3306451612903225,5.431906867845994
Gary Gerould,CSN-CA,2014,All-NBA,Tim Duncan,3,125,63,0.4838709677419355,2.5161290322580645,6.330905306971904
Gary Washburn,Boston Globe,2014,All-NBA,Al Jefferson,5,125,191,1.5,3.5,12.25
George Blaha,WXYT / Fox Sports Detroit,2014,All-NBA,John Wall,3,125,70,0.5403225806451613,2.459677419354839,6.050013007284081
Glenn Consor,106.7 The Fan,2014,All-NBA,John Wall,3,125,70,0.5403225806451613,2.459677419354839,6.050013007284081
Grant Napear,CSN-CA,2014,All-NBA,Tony Parker,3,125,210,1.6693548387096775,1.3306451612903225,1.7706165452653484
Howard Beck,Bleacher Report,2014,All-NBA,Chris Paul,1,125,540,4.346774193548387,3.346774193548387,11.200897502601457
Hubie Brown,ESPN,2014,All-NBA,Tim Duncan,3,125,63,0.4838709677419355,2.5161290322580645,6.330905306971904
Ian Eagle,YES Network,2014,All-NBA,Paul George,3,125,171,1.3548387096774193,1.6451612903225807,2.7065556711758587
Ira Winderman,South Florida Sun Sentinel,2014,All-NBA,Tony Parker,5,125,210,1.653225806451613,3.346774193548387,11.200897502601457
Israel Gutierrez,ESPN.com,2014,All-NBA,Kyle Lowry,3,125,29,0.20967741935483872,2.7903225806451615,7.785900104058274
JA Adande,ESPN.com,2014,All-NBA,Tony Parker,3,125,210,1.6693548387096775,1.3306451612903225,1.7706165452653484
Jason Jackson,Sun Sports,2014,All-NBA,DeMarcus Cousins,5,125,14,0.07258064516129033,4.92741935483871,24.27946149843913
Jason Jones,Sacramento Bee,2014,All-NBA,Carmelo Anthony,3,125,86,0.6693548387096774,2.3306451612903225,5.431906867845994
Jason Kosmicki,Altitude Radio Network,2014,All-NBA,Marc Gasol,5,125,16,0.08870967741935484,4.911290322580645,24.120772632674296
Jason Lloyd,Akron Beacon Journal,2014,All-NBA,Dwight Howard,5,125,226,1.782258064516129,3.217741935483871,10.353863163371487
Jeff McDonald,San Antonio Express-News,2014,All-NBA,John Wall,3,125,70,0.5403225806451613,2.459677419354839,6.050013007284081
Jeff Zillgitt,USA Today,2014,All-NBA,Goran Dragic,3,125,115,0.9032258064516129,2.096774193548387,4.396462018730489
Jerry Zgoda,Minneapolis Star Tribune,2014,All-NBA,Paul George,3,125,171,1.3548387096774193,1.6451612903225807,2.7065556711758587
Jim Barnett,Comcast SportsNet Bay Area,2014,All-NBA,Tim Duncan,5,125,63,0.46774193548387094,4.532258064516129,20.54136316337149
Jim Paschke,Fox Sports Wisconsin,2014,All-NBA,Paul George,3,125,171,1.3548387096774193,1.6451612903225807,2.7065556711758587
Jim Petersen,Fox Sports North,2014,All-NBA,Tony Parker,5,125,210,1.653225806451613,3.346774193548387,11.200897502601457
Jody Genessy,Deseret News,2014,All-NBA,Goran Dragic,3,125,115,0.9032258064516129,2.096774193548387,4.396462018730489
Joe Cowley,Chicago Sun-Times,2014,All-NBA,Damian Lillard,3,125,115,0.9032258064516129,2.096774193548387,4.396462018730489
Joe Freeman,The Oregonian,2014,All-NBA,Goran Dragic,3,125,115,0.9032258064516129,2.096774193548387,4.396462018730489
Joel Meyers,Fox Sports New Orleans,2014,All-NBA,Al Jefferson,3,125,191,1.5161290322580645,1.4838709677419355,2.2018730489073883
John Reid,New Orleans Times Picayune,2014,All-NBA,Damian Lillard,3,125,115,0.9032258064516129,2.096774193548387,4.396462018730489
Jon Barry,ESPN Radio,2014,All-NBA,Tim Duncan,3,125,63,0.4838709677419355,2.5161290322580645,6.330905306971904
Jonathan Feigen,Houston Chronicle,2014,All-NBA,Damian Lillard,3,125,115,0.9032258064516129,2.096774193548387,4.396462018730489
K.C. Johnson,Chicago Tribune,2014,All-NBA,Tony Parker,5,125,210,1.653225806451613,3.346774193548387,11.200897502601457
Keith Pompey,Philadelphia Inquirer,2014,All-NBA,Al Jefferson,5,125,191,1.5,3.5,12.25
Ken Berger,CBSSports.com,2014,All-NBA,John Wall,3,125,70,0.5403225806451613,2.459677419354839,6.050013007284081
Kevin Arnovitz,ESPN.com,2014,All-NBA,Goran Dragic,3,125,115,0.9032258064516129,2.096774193548387,4.396462018730489
Kevin Calabro,ESPN Radio,2014,All-NBA,Tony Parker,3,125,210,1.6693548387096775,1.3306451612903225,1.7706165452653484
