voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award,all_defensive_first_team,all_defensive_first_team_2,all_defensive_first_team_3,all_defensive_first_team_4,all_defensive_first_team_5,all_defensive_second_team,all_defensive_second_team_2,all_defensive_second_team_3,all_defensive_second_team_4,all_defensive_second_team_5
Jon Krawczynski,Associated Press,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Termine,Sirius XM,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Smart, Marcus (Bos.)","Beverley, Patrick (Hou.)","Tucker, PJ (Tor.)","Davis, Anthony (N.O.)","Whiteside, Hassan (Mia.)","Thompson, Klay (G.S.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Verrier,ESPN.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Rubio, Ricky (Min.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KC Johnson,Chicago Tribune,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Paul, Chris (LA-C)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Wall, John (Was.)","Green, Danny (S.A.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Keith Pompey,Philadelphia Inquirer,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Wall, John (Was.)","Covington, Robert (Phi.)","Butler, Jimmy (Chi.)","Whiteside, Hassan (Mia.)","Beverley, Patrick (Hou.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Arnovitz,ESPN.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Green, Danny (S.A.)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Gasol, Marc (Mem.)","Paul, Chris (LA-C)","Smart, Marcus (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Ding,Bleacher Report,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Allen, Tony (Mem.)","Covington, Robert (Phi.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Thompson, Klay (G.S.)","Wall, John (Was.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin Harlan,Turner,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kevin O'Connor,The Ringer,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Covington, Robert (Phi.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Green, Danny (S.A.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kristen Ledlow,Turner,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Bradley, Avery (Bos.)","Roberson, Andre (OKC.)","Covington, Robert (Phi.)","Davis, Anthony (N.O.)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kurt Helin,NBCSports.com,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Davis, Anthony (N.O.)","Millsap, Paul (Atl.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Green, Danny (S.A.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lang Whitaker,NBA.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Whiteside, Hassan (Mia.)","Bradley, Avery (Bos.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lee Jenkins,Sports Illustrated,"Roberson, Andre (OKC.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Leonard, Kawhi (S.A.)","Kidd-Gilchrist, Michael (Cha.)","Howard, Dwight (Atl.)","Bradley, Avery (Bos.)","Thompson, Klay (G.S.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lisa Shen Yang,Tencent,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Howard, Dwight (Atl.)","Antetokounmpo, Giannis (Mil.)","Gordon, Eric (Hou.)","Kidd-Gilchrist, Michael (Cha.)","James, LeBron (Cle.)","Whiteside, Hassan (Mia.)","Allen, Tony (Mem.)","Smart, Marcus (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Manny Navaro,Miami Herald,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Thompson, Klay (G.S.)","Paul, Chris (LA-C)","Butler, Jimmy (Chi.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Holiday, Jrue (N.O.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc Berman,New York Post,"Green, Draymond (G.S.)","James, LeBron (Cle.)","Jordan, DeAndre (LA-C)","Thompson, Klay (G.S.)","Allen, Tony (Mem.)","Durant, Kevin (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Green, Danny (S.A.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc Kestecher,ESPN Radio,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Thompson, Klay (G.S.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Whiteside, Hassan (Mia.)","Bradley, Avery (Bos.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc Spears,The Undefeated,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Bradley, Avery (Bos.)","Davis, Anthony (N.O.)","George, Paul (Ind.)","Whiteside, Hassan (Mia.)","Beverley, Patrick (Hou.)","Caldwell-Pope, Kentavious (Det.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc Stein,ESPN.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Antetokounmpo, Giannis (Mil.)","Millsap, Paul (Atl.)","Howard, Dwight (Atl.)","Beverley, Patrick (Hou.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marcelo Nogueira,Ole,"Leonard, Kawhi (S.A.)","Iguodala, Andre (G.S.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Wall, John (Was.)","Antetokounmpo, Giannis (Mil.)","Aldridge, LaMarcus (S.A.)","Davis, Anthony (N.O.)","Curry, Stephen (G.S.)","Thomas, Isaiah (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Jackson,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)","Butler, Jimmy (Chi.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Bradley, Avery (Bos.)","Paul, Chris (LA-C)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mark Medina,LA Daily News,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Beverley, Patrick (Hou.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Moore,CBSSports.com,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Allen, Tony (Mem.)","Roberson, Andre (OKC.)","Butler, Jimmy (Chi.)","Jordan, DeAndre (LA-C)","Holiday, Jrue (N.O.)","Paul, Chris (LA-C)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Winer,Turner,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Westbrook, Russell (OKC.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Whiteside, Hassan (Mia.)","Wall, John (Was.)","Paul, Chris (LA-C)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Grange,Rogers Sportsnet,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Thompson, Klay (G.S.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Wilbon,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Davis, Anthony (N.O.)","Roberson, Andre (OKC.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Smart, Marcus (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michelle Beadle,ABC/ESPN,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Crowder, Jae (Bos.)","Jordan, DeAndre (LA-C)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Breen,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Bradley, Avery (Bos.)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Whiteside, Hassan (Mia.)","Paul, Chris (LA-C)","Green, Danny (S.A.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nate Taylor,Indianapolis Star,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Thompson, Klay (G.S.)","George, Paul (Ind.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Bradley, Avery (Bos.)","Hill, George (Utah)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nira Khurana,Excelsior,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Wall, John (Was.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Whiteside, Hassan (Mia.)","Paul, Chris (LA-C)","Conley, Mike (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paul Flannery,SB Nation,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rachel Nichols,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Roberson, Andre (OKC.)","Allen, Tony (Mem.)","Jordan, DeAndre (LA-C)","Beverley, Patrick (Hou.)","Rubio, Ricky (Min.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramona Shelburne,ESPN.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Roberson, Andre (OKC.)","George, Paul (Ind.)","Davis, Anthony (N.O.)","Beverley, Patrick (Hou.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Reggie Miller,Turner,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Westbrook, Russell (OKC.)","James, LeBron (Cle.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Smart, Marcus (Bos.)","Paul, Chris (LA-C)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ric Bucher,Bleacher Report,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)","Aminu, Al-Farouq (Por.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Allen, Tony (Mem.)","Thompson, Klay (G.S.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Richard Walker,Gaston Gazette,"Green, Draymond (G.S.)","Towns, Karl-Anthony (Min.)","Whiteside, Hassan (Mia.)","Wall, John (Was.)","Westbrook, Russell (OKC.)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Gobert, Rudy (Utah)","Batum, Nicolas (Cha.)","Lillard, Damian (Por.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rod Beard,Detroit News,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Millsap, Paul (Atl.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Green, Danny (S.A.)","Bradley, Avery (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ron Tillery,Memphis Commercial-Appeal,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Royce Young,ESPN,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Thompson, Klay (G.S.)","Durant, Kevin (G.S.)","Roberson, Andre (OKC.)","Zeller, Cody (Cha.)","Paul, Chris (LA-C)","Bradley, Avery (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ryan Wolstat,Toronto Sun,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)","Crowder, Jae (Bos.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Wall, John (Was.)","Green, Danny (S.A.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sage Steele,ABC/ESPN,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Green, Danny (S.A.)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Beverley, Patrick (Hou.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sam Amick,USA Today,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Paul, Chris (LA-C)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sean Deveney,The Sporting News,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","James, LeBron (Cle.)","Davis, Anthony (N.O.)","Thompson, Klay (G.S.)","Holiday, Jrue (N.O.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sekou Smith,NBA.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)","George, Paul (Ind.)","Butler, Jimmy (Chi.)","Jordan, DeAndre (LA-C)","Thompson, Klay (G.S.)","Bradley, Avery (Bos.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sherrod Blakely,CSN New England,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Smart, Marcus (Bos.)","Antetokounmpo, Giannis (Mil.)","Allen, Tony (Mem.)","Crowder, Jae (Bos.)","Whiteside, Hassan (Mia.)","Bradley, Avery (Bos.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Aschburner,NBA.com,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)","Roberson, Andre (OKC.)","Butler, Jimmy (Chi.)","Jordan, DeAndre (LA-C)","Bradley, Avery (Bos.)","Paul, Chris (LA-C)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Kyler,Basketball Insiders,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Westbrook, Russell (OKC.)","Paul, Chris (LA-C)","Davis, Anthony (N.O.)","Durant, Kevin (G.S.)","Whiteside, Hassan (Mia.)","Green, Danny (S.A.)","Curry, Stephen (G.S.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Steve Smith,Turner,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Bradley, Avery (Bos.)","Roberson, Andre (OKC.)","Antetokounmpo, Giannis (Mil.)","Jordan, DeAndre (LA-C)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tim Reynolds,Associated Press,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Antetokounmpo, Giannis (Mil.)","Paul, Chris (LA-C)","Davis, Anthony (N.O.)","Millsap, Paul (Atl.)","Whiteside, Hassan (Mia.)","Allen, Tony (Mem.)","Wall, John (Was.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TJ Manotoc,ABC-CBN,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Bradley, Avery (Bos.)","Matthews, Wesley (Dal.)","Davis, Anthony (N.O.)","Roberson, Andre (OKC.)","Jordan, DeAndre (LA-C)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tony Jones,Salt Lake Tribune,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Wall, John (Was.)","Paul, Chris (LA-C)","Antetokounmpo, Giannis (Mil.)","Davis, Anthony (N.O.)","Jordan, DeAndre (LA-C)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vince Goodwill,CSN Chicago,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Beverley, Patrick (Hou.)","Paul, Chris (LA-C)","Butler, Jimmy (Chi.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Bradley, Avery (Bos.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Weiping Zhang,CCTV,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Beverley, Patrick (Hou.)","Davis, Anthony (N.O.)","Millsap, Paul (Atl.)","Howard, Dwight (Atl.)","Green, Danny (S.A.)","Allen, Tony (Mem.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yoko Miyaji,Sports Graphic Number,"Green, Draymond (G.S.)","Leonard, Kawhi (S.A.)","Gobert, Rudy (Utah)","Paul, Chris (LA-C)","Smart, Marcus (Bos.)","Butler, Jimmy (Chi.)","Roberson, Andre (OKC.)","Davis, Anthony (N.O.)","Antetokounmpo, Giannis (Mil.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zach Lowe,ESPN.com,"Leonard, Kawhi (S.A.)","Green, Draymond (G.S.)","Gobert, Rudy (Utah)","Green, Danny (S.A.)","Paul, Chris (LA-C)","Roberson, Andre (OKC.)","Millsap, Paul (Atl.)","Davis, Anthony (N.O.)","Allen, Tony (Mem.)","Beverley, Patrick (Hou.)",2017,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Falk,Salt Lake Tribune,"Leonard, Kawhi -- SA","Millsap, Paul -- ATL","Green, Draymond -- GS","Paul, Chris -- LAC","Thompson, Klay -- GS","Crowder, Jae -- BOS","George, Paul -- IND","Gobert, Rudy -- UTA","Bradley, Avery -- BOS","Caldwell-Pope, Kentavious -- DET",2016,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adrian Chavarria,KEYH 850 AM,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Curry, Stephen -- GS","Ariza, Trevor -- HOU","Davis, Anthony -- NOP","Cousins, DeMarcus -- SAC","Allen, Tony -- MEM","Lowry, Kyle -- TOR",2016,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alan Horton,WCCO 830-AM,"George, Paul -- IND","Leonard, Kawhi -- SA","Green, Draymond -- GS","Paul, Chris -- LAC","Bradley, Avery -- BOS","Millsap, Paul -- ATL","James, LeBron -- CLE","Whiteside, Hassan -- MIA","Rubio, Ricky -- MIN","Allen, Tony -- MEM",2016,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andre Aldridge,Fox Sports South,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Bradley, Avery -- BOS","Green, Danny -- SA","Millsap, Paul -- ATL","James, LeBron -- CLE","Duncan, Tim -- SA","Paul, Chris -- LAC","Caldwell-Pope, Kentavious -- DET",2016,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andy Vasquez,Bergen Record,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Gobert, Rudy -- UTA","Paul, Chris -- LAC","Rubio, Ricky -- MIN","George, Paul -- IND","Millsap, Paul -- ATL","Jordan, DeAndre -- LAC","Caldwell-Pope, Kentavious -- DET","Allen, Tony -- MEM",2016,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Slater,The Oklahoman,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Bradley, Avery -- BOS","Paul, Chris -- LAC","Millsap, Paul -- ATL","Crowder, Jae -- BOS","Whiteside, Hassan -- MIA","Allen, Tony -- MEM","Butler, Jimmy -- CHI",2016,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Land,Fox Sports Southwest,"Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Bradley, Avery -- BOS","Antetokounmpo, Giannis -- MIL","Iguodala, Andre -- GS","Whiteside, Hassan -- MIA","Paul, Chris -- LAC","Beverley, Patrick -- HOU",2016,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Oram,Orange County Register,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA","Rubio, Ricky -- MIN","Bradley, Avery -- BOS","Crowder, Jae -- BOS","George, Paul -- IND","Jordan, DeAndre -- LAC","Green, Danny -- SA","Caldwell-Pope, Kentavious -- DET",2016,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Reiter,CBSSports.com,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Bradley, Avery -- BOS","Caldwell-Pope, Kentavious -- DET","Crowder, Jae -- BOS","Millsap, Paul -- ATL","Whiteside, Hassan -- MIA","Thompson, Klay -- GS","Paul, Chris -- LAC",2016,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Schoening,WOAI Radio,"Millsap, Paul -- ATL","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Leonard, Kawhi -- SA","Beverley, Patrick -- HOU","Davis, Anthony -- NOP","Duncan, Tim -- SA","Whiteside, Hassan -- MIA","Allen, Tony -- MEM","Butler, Jimmy -- CHI",2016,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Simmons,Bill Simmons Podcast/HBO,"Leonard, Kawhi -- SA","Millsap, Paul -- ATL","Green, Draymond -- GS","Bradley, Avery -- BOS","Paul, Chris -- LAC","Crowder, Jae -- BOS","George, Paul -- IND","Whiteside, Hassan -- MIA","Rubio, Ricky -- MIN","Thompson, Klay -- GS",2016,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill Wennington,ESPN AM 1000,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Whiteside, Hassan -- MIA","George, Paul -- IND","Westbrook, Russell -- OKC","Millsap, Paul -- ATL","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Allen, Tony -- MEM","Butler, Jimmy -- CHI",2016,All-Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
