voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Ramona Shelburne,ESPN,"Gobert, Rudy (UTA)","Green, Draymond (GSW)","Simmons, Ben (PHI)",2021,DPOY
Ric Bucher,Sirius Radio,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Rob Mahoney,The Ringer,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Turner, Myles (IND)",2021,DPOY
Roy Parry,Orlando Sentinel,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Royce Young,ESPN,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Ryan Wolstat,The Toronto Sun,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)",2021,DPOY
Sam Amick,The Athletic,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Scott Kushner,New Orleans Times Picayune,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Seerat Sohi,The Ringer,"Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Green, Draymond (GSW)",2021,DPOY
Shams Charania,The Athletic/Stadium,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Green, Draymond (GSW)",2021,DPOY
Shaun Powell,NBA.com,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Simone Sandri,Gazzetta.it,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Stefan Bondy,New York Daily News,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)",2021,DPOY
Stephen A. Smith,ESPN,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)",2021,DPOY
Steve Aschburner,NBA.com,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
Steve Smith,Turner,"Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Green, Draymond (GSW)",2021,DPOY
Taylor Rooks,Bleacher Report,"Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)",2021,DPOY
