voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Dave Campbell,Associated Press,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Dave McMenamin,ESPN,"Rivers, Doc (LA Clippers)","Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)",2019,COY
Dave Pasch,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
David Cobb,Memphis Commercial Appeal,"Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)","Malone, Mike (Denver Nuggets)",2019,COY
Dennis Scott,Turner Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Diego Martinez,Reforma,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","McMillan, Nate (Indiana Pacers)",2019,COY
Doris Burke,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)",2019,COY
Doug Smith,Toronto Star,"Malone, Mike (Denver Nuggets)","Atkinson, Kenny (Brooklyn Nets)","Budenholzer, Mike (Milwaukee Bucks)",2019,COY
Duane Rankin,Arizona Republic,"Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)","Malone, Mike (Denver Nuggets)",2019,COY
Eric Woodyard,Deseret News,"Malone, Mike (Denver Nuggets)","Budenholzer, Mike (Milwaukee Bucks)","Snyder, Quin (Utah Jazz)",2019,COY
Erik Horne,The Oklahoman,"Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)","Malone, Mike (Denver Nuggets)",2019,COY
Flavio Tranquillo,Sky Italia,"Budenholzer, Mike (Milwaukee Bucks)","Atkinson, Kenny (Brooklyn Nets)","Snyder, Quin (Utah Jazz)",2019,COY
Frank Isola,Sirius Radio/The Athletic,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","McMillan, Nate (Indiana Pacers)",2019,COY
Fred Katz,The Athletic,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Atkinson, Kenny (Brooklyn Nets)",2019,COY
