voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Doris Burke,ESPN,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Doug Smith,The Toronto Star,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Eddie Johnson,Fox Sports Arizona,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Eddie Sefko,Dallas Morning News,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Mudiay, Emmanuel -- DEN",2016,ROY
Eric Collins,Hornets Radio,"Towns, Karl-Anthony -- MIN","Jokic, Nikola -- DEN","Porzingis, Kristaps -- NYK",2016,ROY
Eric Hasseltine,92.9 FM ESPN/680 AM ESPN,"Towns, Karl-Anthony -- MIN","Okafor, Jahlil -- PHI","Porzingis, Kristaps -- NYK",2016,ROY
Eric Reid,Fox Sports Sun,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Winslow, Justise -- MIA",2016,ROY
Ernie Johnson,TNT,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Turner, Myles -- IND",2016,ROY
Fran Blinebury,NBA.com,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Booker, Devin -- PHX",2016,ROY
Frank Isola,Sirius Radio/New York Daily News,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Mudiay, Emmanuel -- DEN",2016,ROY
Gary Gerould,Comcast SportsNet-CA,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Jokic, Nikola -- DEN",2016,ROY
Gary Washburn,Boston Globe,"Towns, Karl-Anthony -- MIN","Booker, Devin -- PHX","Porzingis, Kristaps -- NYK",2016,ROY
George Blaha,WMGC / Fox Sports Detroit,"Towns, Karl-Anthony -- MIN","Porzingis, Kristaps -- NYK","Turner, Myles -- IND",2016,ROY
