voter_name,affiliation,first,first_2,first_3,first_4,first_5,second,second_2,second_3,second_4,second_5,year,award
Kevin Arnovitz,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Davis, Terence (TOR)","Hayes, Jaxson (NOP)","Johnson, Cameron (PHX)","Thybulle, Matisse (PHI)","Paschall, Eric (GSW)","Washington, P.J. (CHA)",2020,All-Rook
Jackie MacMullan,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","White, Coby (CHI)","Thybulle, Matisse (PHI)","Washington, P.J. (CHA)","Paschall, Eric (GSW)","Garland, Darius (CLE)",2020,All-Rook
Kevin Harlan,Turner,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","White, Coby (CHI)","Thybulle, Matisse (PHI)","Washington, P.J. (CHA)","Paschall, Eric (GSW)","Herro, Tyler (MIA)",2020,All-Rook
Jeff McDonald,San Antonio Express-News,"Morant, Ja (MEM)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","Herro, Tyler (MIA)","Hachimura, Rui (WAS)","Barrett, R.J. (NYK)","White, Coby (CHI)","Paschall, Eric (GSW)","Hunter, De'Andre (ATL)",2020,All-Rook
Jeff Zillgitt,USA Today,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Williamson, Zion (NOP)","Herro, Tyler (MIA)","Hachimura, Rui (WAS)","Washington, P.J. (CHA)","White, Coby (CHI)","Paschall, Eric (GSW)","Davis, Terence (TOR)",2020,All-Rook
Justin Termine,Sirius Radio,"Morant, Ja (MEM)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Davis, Terence (TOR)","Williamson, Zion (NOP)","Thybulle, Matisse (PHI)","Washington, P.J. (CHA)","White, Coby (CHI)","Paschall, Eric (GSW)","Herro, Tyler (MIA)",2020,All-Rook
Cedric Maxwell,WEEI Radio,"Wiggins, Andrew -- MIN","Mirotic, Nikola -- CHI","Smart, Marcus -- BOS","Gordon, Aaron -- ORL","Noel, Nerlens -- PHI","LaVine, Zach -- MIN","Parker, Jabari -- MIL","Exum, Dante -- UTA","Payton, Elfrid -- ORL","Jefferson, Cory -- BRK",2015,All-Rook
Nate Taylor,Indianapolis Star,"Brogdon, Malcolm (Mil.)","Brown, Jaylen (Bos.)","Saric, Dario (Phi.)","Ingram, Brandon (LA-L)","Embiid, Joel (Phi.)","McGruder, Rodney (Mia.)","Hield, Buddy (Sac.)","Hernangomez, Willy (N.Y.)","Poeltl, Jakob (Tor.)","Dunn, Kris (Min.)",2017,All-Rook
Jon Barry,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Paschall, Eric (GSW)","Nunn, Kendrick (MIA)","Herro, Tyler (MIA)","Washington, P.J. (CHA)","Barrett, R.J. (NYK)","Porter, Michael Jr. (DEN)","White, Coby (CHI)",2020,All-Rook
Coral Lu,ESPN-Tencent,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Paschall, Eric (GSW)","Clarke, Brandon (MEM)","Thybulle, Matisse (PHI)","Herro, Tyler (MIA)","Davis, Terence (TOR)","Hachimura, Rui (WAS)","Porter, Michael Jr. (DEN)","White, Coby (CHI)",2020,All-Rook
Chris Sasaki,Rakuten,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Davis, Terence (TOR)","Thybulle, Matisse (PHI)","Porter, Michael Jr. (DEN)","Washington, P.J. (CHA)",2020,All-Rook
