voter_name,affiliation,first_place_five_pts,second_place_three_pts,third_place_one_pt,year,award
Matt Winer,WarnerMedia,"Stephen Curry, Golden State","Nikola Jokic, Denver","DeMar Derozan, Chicago",2024,CPOY
Kristian Winfield,New York Daily News,"Shai Gilgeous-Alexander, Oklahoma City","DeMar Derozan, Chicago","Stephen Curry, Golden State",2024,CPOY
Ryan Wolstat,The Toronto Sun,"DeMar Derozan, Chicago","Stephen Curry, Golden State","Shai Gilgeous-Alexander, Oklahoma City",2024,CPOY
Michael C. Wright,NBA.com,"Stephen Curry, Golden State","DeMar Derozan, Chicago","Shai Gilgeous-Alexander, Oklahoma City",2024,CPOY
Ohm Youngmisuk,ESPN,"Stephen Curry, Golden State","Nikola Jokic, Denver","DeMar Derozan, Chicago",2024,CPOY
Jeff Zillgitt,USA Today,"Stephen Curry, Golden State","Kyrie Irving, Dallas","DeMar Derozan, Chicago",2024,CPOY
David Aldridge,The Athletic,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","Brunson, Jalen (NYK)",2023,CPOY
Sam Amick,The Athletic,"Fox, DeAaron (SAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)",2023,CPOY
Greg Anthony,WarnerMedia,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","Brunson, Jalen (NYK)",2023,CPOY
Steve Aschburner,NBA.com,"Fox, DeAaron (SAC)","Mitchell, Donovan (CLE)","Butler, Jimmy (MIA)",2023,CPOY
Maxime Aubin,L'Equipe,"Fox, DeAaron (SAC)","Brunson, Jalen (NYK)","DeRozan, DeMar (CHI)",2023,CPOY
Eduardo Barao,BAND,"Curry, Stephen (GSW)","Tatum, Jayson (BOS)","Embiid, Joel (PHI)",2023,CPOY
Howard Beck,PBWA/GQ,"Fox, DeAaron (SAC)","Mitchell, Donovan (CLE)","Lillard, Damian (POR)",2023,CPOY
Stefan Bondy,New York Daily News,"Fox, DeAaron (SAC)","Lillard, Damian (POR)","Doncic, Luka (DAL)",2023,CPOY
Tim Bontemps,ESPN,"Fox, DeAaron (SAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)",2023,CPOY
Rod Boone,Charlotte Observer,"Brunson, Jalen (NYK)","DeRozan, DeMar (CHI)","Curry, Stephen (GSW)",2023,CPOY
Chris Broussard,Fox Sports,"Fox, DeAaron (SAC)","Butler, Jimmy (MIA)","Brunson, Jalen (NYK)",2023,CPOY
